family,gene,mouse gene,source,skin compartment,compartment confidence,full name,role,key reference,validated in,psoriasis relevance,family review
Cadherin / junction,CTNNB1,Ctnnb1,Curated panel,Both,High,β-catenin,AJ scaffold + Wnt TF; force-induced nuclear translocation,"Le, 2018",,,Leckband & de Rooij 2014 [Annu Rev Cell Dev Biol]; Charras & Yap 2018 [Curr Biol]
Cadherin / junction,CTNND1,Ctnnd1,Curated panel,Both,High,p120-catenin,cadherin stability regulator,"Reynolds, Biochim Biophys Acta, 2007 [PMC2892545]",,,Leckband & de Rooij 2014 [Annu Rev Cell Dev Biol]; Charras & Yap 2018 [Curr Biol]
Cadherin / junction,DSC1,Dsc1,Skin/psoriasis review,Epidermis,High,Desmocollin-1,suprabasal desmosomal cadherin,"Garrod, BBA, 2008 [PMID 17854763]",Koester 2021,Suprabasal desmosomal cadherin; differentiation-associated,
Cadherin / junction,DSC3,Dsc3,Curated panel,Epidermis,High,Desmocollin-3,desmosomal cadherin,"Garrod, Biochim Biophys Acta, 2008 [PMID 17854763]",,,Leckband & de Rooij 2014 [Annu Rev Cell Dev Biol]; Charras & Yap 2018 [Curr Biol]
Cadherin / junction,DSG1,Dsg1a,Skin/psoriasis review,Epidermis,High,Desmoglein-1,suprabasal desmosomal cadherin; force-bearing cell-cell adhesion,"Garrod, BBA, 2008 [PMID 17854763]",Villeneuve 2026,Suprabasal desmosomal cadherin; pemphigus foliaceus/SAM; remodeled in psoriasis,
Cadherin / junction,DSG2,Dsg2,Curated panel,Epidermis,Medium,Desmoglein-2,"desmosomal cadherin, force-bearing","Baddam, eLife, 2018 [PMC6070948]",,,Leckband & de Rooij 2014 [Annu Rev Cell Dev Biol]; Charras & Yap 2018 [Curr Biol]
Cadherin / junction,DSG3,Dsg3,Curated panel,Epidermis,High,Desmoglein-3,desmosomal cadherin,"Garrod, BBA, 2008 [PMID 17854763]",Villeneuve 2026,,Leckband & de Rooij 2014 [Annu Rev Cell Dev Biol]; Charras & Yap 2018 [Curr Biol]
Cadherin / junction,DSP,Dsp,Curated panel,Epidermis,High,Desmoplakin,"desmosomal plaque, intermediate-filament anchor","Broussard, Curr Biol, 2017 [PMC5687018]",,,Leckband & de Rooij 2014 [Annu Rev Cell Dev Biol]; Charras & Yap 2018 [Curr Biol]
Cadherin / junction,F11R,F11r,Curated panel,Both,High,JAM-A,"tight-junction member, mechano-coupled","Severson, 2009",,,Leckband & de Rooij 2014 [Annu Rev Cell Dev Biol]; Charras & Yap 2018 [Curr Biol]
Cadherin / junction,GJA1,Gja1,Xiong 2025 (MechanoGEPred),Both,Medium,Connexin-43 (GJA1),mechanosensitive gap-junction channel,"Xiong, BioData Min, 2025 [PMC12625330]",,,
Cadherin / junction,JUP,Jup,Skin/psoriasis review,Epidermis,Medium,Junction plakoglobin (gamma-catenin),desmosome + adherens-junction armadillo protein; force transduction,"Aktary, Int J Cell Biol, 2012 [PMC3312339]",,Desmosomal/AJ plaque; Naxos disease,
Cadherin / junction,PKP1,Pkp1,Skin/psoriasis review,Epidermis,High,Plakophilin-1,desmosomal plaque protein; reinforces desmosome mechanics,"McGrath, 2010",,Desmosomal plaque; skin-fragility-ectodermal-dysplasia syndrome,
Cadherin / junction,TJP1,Tjp1,Curated panel,Both,High,ZO-1,"tight-junction scaffold, mechano-stretch responsive","Spadaro, Curr Biol, 2017 [PMID 29199076]",Javed 2025,,Leckband & de Rooij 2014 [Annu Rev Cell Dev Biol]; Charras & Yap 2018 [Curr Biol]
Cadherin / junction,TJP2,Tjp2,Curated panel,Both,High,ZO-2,tight-junction scaffold,"Bauer, 2010",Javed 2025,,Leckband & de Rooij 2014 [Annu Rev Cell Dev Biol]; Charras & Yap 2018 [Curr Biol]
Caveolae,CAV1,Cav1,Curated panel,Both,High,Caveolin-1,"principal caveolar coat protein, mechano-buffer","Sinha, Cell, 2011 [PMC3042189]; Parton, Nat Rev MCB, 2013 [PMID 23340574]",Villeneuve 2026; Kaivola 2026; Suriyagandhi 2024; Urbanska 2024,,Sinha et al. 2011 [Cell]; Parton & del Pozo 2013 [Nat Rev MCB]
Caveolae,CAV2,Cav2,Curated panel,Both,High,Caveolin-2,co-assembled with CAV1,"Parton, Nat Rev MCB, 2013 [PMID 23340574]",,,Sinha et al. 2011 [Cell]; Parton & del Pozo 2013 [Nat Rev MCB]
Caveolae,CAVIN1,Cavin1,Curated panel,Both,High,PTRF/Cavin-1,essential caveolar accessory; loss disrupts mechano-buffering,"Hill, Cell, 2008 [PMC2265257]; Sinha, Cell, 2011 [PMC3042189]",,,Sinha et al. 2011 [Cell]; Parton & del Pozo 2013 [Nat Rev MCB]
Caveolae,CAVIN2,Cavin2,Curated panel,Both,High,SDPR/Cavin-2,caveolar coat accessory,"Hansen, Trends Cell Biol, 2010 [PMID 20153650]",,,Sinha et al. 2011 [Cell]; Parton & del Pozo 2013 [Nat Rev MCB]
Caveolae,CAVIN3,Cavin3,Curated panel,Both,High,PRKCDBP/Cavin-3,caveolar accessory,"Hansen, Trends Cell Biol, 2010 [PMID 20153650]",,,Sinha et al. 2011 [Cell]; Parton & del Pozo 2013 [Nat Rev MCB]
Caveolae,FLOT2,Flot2,Curated panel,Both,High,Flotillin-2,membrane microdomain scaffold,"Banning, Cell Mol Life Sci, 2014 [PMC3980747]",Bonjoch 2025,,Sinha et al. 2011 [Cell]; Parton & del Pozo 2013 [Nat Rev MCB]
Cell volume / osmotic mechanosensing,AQP1,Aqp1,Curated panel,Dermis,Medium,Aquaporin-1,ubiquitous water channel,"Verkman, Annu Rev Med, 2011 [PMC3319404]",,,Hoffmann et al. 2009 [Physiol Rev]; Verkman 2011 [Annu Rev Med]
Cell volume / osmotic mechanosensing,AQP3,Aqp3,Curated panel,Epidermis,Medium,Aquaporin-3,"aquaglyceroporin, skin/epithelia","Verkman, Annu Rev Med, 2011 [PMC3319404]",,,Hoffmann et al. 2009 [Physiol Rev]; Verkman 2011 [Annu Rev Med]
Cell volume / osmotic mechanosensing,AQP5,Aqp5,Curated panel,Appendages,Medium,Aquaporin-5,"secretory water channel, salivary/lung","Verkman, Annu Rev Med, 2011 [PMC3319404]",,,Hoffmann et al. 2009 [Physiol Rev]; Verkman 2011 [Annu Rev Med]
Cell volume / osmotic mechanosensing,OXSR1,Oxsr1,Curated panel,Both,High,OSR1,WNK pathway kinase,"Alessi, Sci Signal, 2014 [PMID 25028718]",,,Hoffmann et al. 2009 [Physiol Rev]; Verkman 2011 [Annu Rev Med]
Cell volume / osmotic mechanosensing,SLC9A1,Slc9a1,Xiong 2025 (MechanoGEPred),Both,Medium,NHE1 (SLC9A1),mechanosensitive Na/H exchanger; volume/pH,"Xiong, BioData Min, 2025 [PMC12625330]",,,
Cell volume / osmotic mechanosensing,SLC12A2,Slc12a2,Curated panel,Both,High,NKCC1,"Na-K-Cl cotransporter, volume regulation","Russell, Physiol Rev, 2000 [PMID 10617769]",,,Hoffmann et al. 2009 [Physiol Rev]; Verkman 2011 [Annu Rev Med]
Cell volume / osmotic mechanosensing,STK39,Stk39,Curated panel,Both,High,SPAK,WNK pathway kinase,"Alessi, Sci Signal, 2014 [PMID 25028718]",,,Hoffmann et al. 2009 [Physiol Rev]; Verkman 2011 [Annu Rev Med]
Chromatin mechano,ATM,Atm,Xiong 2025 (MechanoGEPred),Both,Medium,ATM kinase,DNA-damage/nuclear-mechano kinase,"Xiong, BioData Min, 2025 [PMC12625330]",,,
Chromatin mechano,CBX2,Cbx2,McCreery 2025 (mechano-osmotic chromatin),Both,High,Chromobox 2 (Polycomb PRC1),mechano-osmotic chromatin condensate; phase separation gated by crowding/osmotic pressure,"McCreery, Nat Cell Biol, 2025 [PMC12527910]",,Mechano-osmotic Polycomb condensate,
Chromatin mechano,CBX3,Cbx3,Curated panel,Both,High,HP1γ,HP1 isoform,"Maison, Nat Rev MCB, 2004 [PMID 15071554]",,,Le et al. 2016 [Nat Cell Biol]; Wang et al. 2017 [Nat Rev MCB]
Chromatin mechano,CBX4,Cbx4,McCreery 2025 (mechano-osmotic chromatin),Both,Medium,"Chromobox 4 (Polycomb, SUMO E3)",Polycomb PRC1 chromatin component (with CBX2),"McCreery, Nat Cell Biol, 2025 [PMC12527910]",,Polycomb chromatin component,
Chromatin mechano,CBX5,Cbx5,Curated panel,Both,High,HP1α,"heterochromatin scaffold, mechano-condensation","Maison, Nat Rev MCB, 2004 [PMID 15071554]",,,Le et al. 2016 [Nat Cell Biol]; Wang et al. 2017 [Nat Rev MCB]
Chromatin mechano,EZH2,Ezh2,Curated panel,Both,High,EZH2,"polycomb H3K27 methyltransferase, mechano-induced silencing","Margueron, Nature, 2011 [PMC3760771]",Hunter 2025,,Le et al. 2016 [Nat Cell Biol]; Wang et al. 2017 [Nat Rev MCB]
Chromatin mechano,H1-0,H1f0,McCreery 2025 (mechano-osmotic chromatin),Both,Medium,Linker histone H1.0,chromatin-compaction linker histone; chromatin mechanics,"McCreery, Nat Cell Biol, 2025 [PMC12527910]",,Chromatin-compaction histone,
Chromatin mechano,H2AFX,H2ax,Curated panel,Both,High,H2AX,phosphorylated to γH2AX as nuclear-strain damage marker,"Rogakou, J Biol Chem, 1998 [PMID 9488723]",,,Le et al. 2016 [Nat Cell Biol]; Wang et al. 2017 [Nat Rev MCB]
Chromatin mechano,HDAC5,Hdac5,Xiong 2025 (MechanoGEPred),Both,Medium,HDAC5,class-IIa HDAC; mechano-shuttling MEF2 repressor,"Xiong, BioData Min, 2025 [PMC12625330]",,,
Chromatin mechano,HMGA1,Hmga1,Curated panel,Both,High,HMGA1,"high-mobility-group AT-hook, stretch-responsive","Reeves, 2015",Hunter 2025,,Le et al. 2016 [Nat Cell Biol]; Wang et al. 2017 [Nat Rev MCB]
Chromatin mechano,HMGB1,Hmgb1,Hunter 2025 (melanoma confinement),Both,Medium,High-mobility-group box 1,DNA-bending HMG-box chromatin protein (HMGB2 paralog); confinement-responsive chromatin mechano-regulation,"Hunter, Nature, 2025 [PMC12611772]",,,
Chromatin mechano,HMGB2,Hmgb2,Curated panel,Both,High,HMGB2,"chromatin-architectural protein, mechano-induced","Stros, Biochim Biophys Acta, 2010 [PMID 20123072]",Hunter 2025; Jiang 2024,,Le et al. 2016 [Nat Cell Biol]; Wang et al. 2017 [Nat Rev MCB]
Chromatin mechano,HMGB3,Hmgb3,Hunter 2025 (melanoma confinement),Both,Low,High-mobility-group box 3,HMG-box DNA-bending chromatin protein; confinement-regulated member of the HMG-family mechano-program,"Hunter, Nature, 2025 [PMC12611772]",,,
Chromatin mechano,HMGN2,Hmgn2,Hunter 2025 (melanoma confinement),Both,Low,Non-histone chromosomal protein HMGN2 (HMG-14),nucleosome-binding HMGN protein; confinement-regulated chromatin compaction,"Hunter, Nature, 2025 [PMC12611772]",,,
Chromatin mechano,SETDB1,Setdb1,Curated panel,Both,High,SETDB1,H3K9 methyltransferase,"Schultz, Genes Dev, 2002 [PMC152359]",,,Le et al. 2016 [Nat Cell Biol]; Wang et al. 2017 [Nat Rev MCB]
Chromatin mechano,SMARCAD1,Smarcad1,Hunter 2025 (melanoma confinement),Both,Low,SWI/SNF-related ATPase SMARCAD1,ATP-dependent chromatin remodeller; top confinement-induced gene; nucleosome turnover / heterochromatin maintenance,"Hunter, Nature, 2025 [PMC12611772]",,,
Chromatin mechano,SMARCAL1,Smarcal1,Hunter 2025 (melanoma confinement),Both,Low,SMARCAL1 / HARP (annealing helicase),actin-dependent regulator of chromatin & replication-fork remodeller; confinement-induced,"Hunter, Nature, 2025 [PMC12611772]",,,
Chromatin mechano,SMARCD3,Smarcd3,Xiong 2024 (MechanoBase),Both,Medium,BAF60c (SMARCD3),SWI/SNF chromatin-remodelling subunit (mechano-chromatin),"Xiong, Database (Oxford), 2024 [PMC11131424]",,,
Chromatin mechano,TRNP1,Trnp1,Xiong 2024 (MechanoBase),Both,Medium,TRNP1,nuclear protein controlling nuclear stiffness & tissue folding,"Xiong, Database (Oxford), 2024 [PMC11131424]",,,
Cornified envelope / barrier,FLG,Flg,Skin/psoriasis review,Epidermis,High,Filaggrin,aggregates keratin filaments into the cornified mechanical barrier,"Sandilands, J Cell Sci, 2009 [PMC2721001]",Villeneuve 2026; Yu 2022,Barrier protein; ichthyosis vulgaris/AD; reduced in psoriasis,
Cornified envelope / barrier,IVL,Ivl,Skin/psoriasis review,Epidermis,High,Involucrin,cornified-envelope scaffold protein (transglutaminase substrate),"Eckert, 2005",Aguilera-Stewart 2025; Fiore 2020; Yu 2022,Cornified-envelope protein; aberrant/premature expression in psoriasis,
Cornified envelope / barrier,LOR,Lor,Skin/psoriasis review,Epidermis,High,Loricrin,major cornified-envelope structural protein (mechanical barrier),"Nithya, 2015",Yu 2022,Cornified-envelope protein; reduced/abnormal in psoriasis,
Cornified envelope / barrier,TGM1,Tgm1,Skin/psoriasis review,Epidermis,High,Transglutaminase-1,crosslinks cornified-envelope proteins (mechanical strengthening),"Eckert, 2005",Aguilera-Stewart 2025; Villeneuve 2026,Cornified-envelope crosslinker; lamellar ichthyosis; altered in psoriasis,
Cytoskeleton & contractility,ACTB,Actb,Aragona 2020 (scRNA DEGs),Both,High,beta-actin,cytoplasmic actin monomer; core cytoskeletal force element,"Aragona, Nature, 2020 [PMC7116042]",Koester 2021,Stretch-induced core actin,
Cytoskeleton & contractility,ACTG1,Actg1,Aragona 2020 (scRNA DEGs),Both,High,gamma-actin 1,cytoplasmic actin monomer; core cytoskeletal force element,"Aragona, Nature, 2020 [PMC7116042]",Cosgrove 2025,Stretch-induced core actin,
Cytoskeleton & contractility,ACTN1,Actn1,Curated panel,Both,High,α-actinin-1,F-actin crosslinker at FAs and stress fibres,"Sjöblom, Cell Mol Life Sci, 2008 [PMC11131806]",Kaivola 2026,,Pollard & Cooper 2009 [Science]; Vicente-Manzanares et al. 2009 [Nat Rev MCB]
Cytoskeleton & contractility,ACTN4,Actn4,Curated panel,Both,High,α-actinin-4,F-actin crosslinker; perinuclear actin cap,"Khurana, 2011",,,Pollard & Cooper 2009 [Science]; Vicente-Manzanares et al. 2009 [Nat Rev MCB]
Cytoskeleton & contractility,ACTR2,Actr2,Xiong 2025 (MechanoGEPred),Both,High,ARP2 (ACTR2),Arp2/3 actin nucleation subunit,"Xiong, BioData Min, 2025 [PMC12625330]",,,
Cytoskeleton & contractility,ACTR3,Actr3,Xiong 2025 (MechanoGEPred),Both,High,ARP3 (ACTR3),Arp2/3 actin nucleation subunit,"Xiong, BioData Min, 2025 [PMC12625330]",,,
Cytoskeleton & contractility,ANLN,Anln,Cosgrove 2025 (mechano-enhancers),Both,Medium,Anillin,actomyosin contractile-ring scaffold (stiffness-induced),"Cosgrove, Science, 2025 [PMC13005951]",Aguilera-Stewart 2025; Jiang 2024,,
Cytoskeleton & contractility,ANXA1,Anxa1,Aragona 2020 (ATAC motifs),Both,Medium,Annexin A1,Ca-dependent membrane/actin-linking protein; membrane mechanics & repair,"Aragona, Nature, 2020 [PMC7116042]",,Membrane mechanics; anti-inflammatory annexin,
Cytoskeleton & contractility,ARPC2,Arpc2,Aragona 2020 (scRNA DEGs),Both,Medium,Arp2/3 complex subunit 2,branched-actin nucleation,"Aragona, Nature, 2020 [PMC7116042]",,Stretch-induced branched-actin,
Cytoskeleton & contractility,BAIAP2,Baiap2,Suriyagandhi 2024 (mechano-inflammation network),Both,Medium,IRSp53 (BAIAP2),I-BAR actin/membrane-curvature mechano-protein,"Suriyagandhi, Mechanobiol Med, 2025 [PMC12082120]",,,
Cytoskeleton & contractility,CALD1,Cald1,Villeneuve 2024 (HF morphogenesis),Both,Medium,Caldesmon,actomyosin-contractility regulator (fibroblast-ring contraction),"Villeneuve, Nat Cell Biol, 2024 [PMC10866703]",Villeneuve 2026,,
Cytoskeleton & contractility,CDC42,Cdc42,Curated panel,Both,High,CDC42,"Rho-family GTPase, filopodia","Heasman, Nat Rev MCB, 2008 [PMID 18719708]",Javed 2025; McCreery 2025; Cosgrove 2025,,Pollard & Cooper 2009 [Science]; Vicente-Manzanares et al. 2009 [Nat Rev MCB]
Cytoskeleton & contractility,CFL1,Cfl1,Aragona 2020 (scRNA DEGs),Both,High,Cofilin-1,actin severing/turnover (ubiquitous; complements CFL2),"Aragona, Nature, 2020 [PMC7116042]; Bravo-Cordero, Nat Rev MCB, 2013 [PMC3878614]",,Stretch-induced actin severing,
Cytoskeleton & contractility,CFL2,Cfl2,Curated panel,Both,High,Cofilin-2,actin severing; downstream of LIMK,"Bravo-Cordero, Nat Rev MCB, 2013 [PMC3878614]",,,Pollard & Cooper 2009 [Science]; Vicente-Manzanares et al. 2009 [Nat Rev MCB]
Cytoskeleton & contractility,CIT,Cit,Jiang 2024 (psoriasis mechano-chemical circuit),Epidermis,Medium,Citron Rho-interacting kinase (CRIK),RhoA-effector kinase driving actomyosin contractile-ring cytokinesis; HMGB2-regulated proliferation gene in psoriasis,"Jiang, Cell Rep, 2024 [PMID 39003736]",,,
Cytoskeleton & contractility,CNN1,Cnn1,Cosgrove 2025 (mechano-enhancers),Dermis,Medium,Calponin-1,myofibroblast/SMC actomyosin contractility (stiffness-induced),"Cosgrove, Science, 2025 [PMC13005951]",,,
Cytoskeleton & contractility,CNN2,Cnn2,Villeneuve 2024 (HF morphogenesis),Both,Medium,Calponin-2,actin-binding contractility regulator,"Villeneuve, Nat Cell Biol, 2024 [PMC10866703]",Xiong 2024; Urbanska 2024,,
Cytoskeleton & contractility,CNN3,Cnn3,Villeneuve 2024 (HF morphogenesis),Both,Medium,Calponin-3,actin-binding contractility regulator,"Villeneuve, Nat Cell Biol, 2024 [PMC10866703]",,,
Cytoskeleton & contractility,COTL1,Cotl1,Xiong 2024 (MechanoBase),Both,Medium,Coactosin-like 1,F-actin-binding protein; cytoskeletal mechanics,"Xiong, Database (Oxford), 2024 [PMC11131424]",,,
Cytoskeleton & contractility,CRYAB,Cryab,Villeneuve 2024 (HF morphogenesis),Both,Medium,Alpha-B crystallin (HSPB5),mechano-stress chaperone protecting cytoskeleton/IF,"Villeneuve, Nat Cell Biol, 2024 [PMC10866703]",,,
Cytoskeleton & contractility,CSRP2,Csrp2,Aragona 2020 (ATAC motifs),Both,Medium,Cysteine-rich protein 2 (CRP2),actin-associated LIM-domain mechano-protein,"Aragona, Nature, 2020 [PMC7116042]",,Mechano LIM-domain protein,
Cytoskeleton & contractility,CTTN,Cttn,Curated panel,Both,High,Cortactin,branched-actin scaffold at invadopodia,"Weaver, 2008",,,Pollard & Cooper 2009 [Science]; Vicente-Manzanares et al. 2009 [Nat Rev MCB]
Cytoskeleton & contractility,DIAPH1,Diaph1,Literature review,Both,High,mDia1 formin,RhoA-driven mechanoresponsive actin nucleator; feeds MRTF/SRF,"Riveline, J Cell Biol, 2001 [PMC2192034]",,General,
Cytoskeleton & contractility,DIAPH2,Diaph2,Aragona 2020 (main text),Both,Medium,Diaphanous formin 2,actin-nucleating formin; stretch-upregulated (with DIAPH3),"Aragona, Nature, 2020 [PMC7116042]",,Stretch-upregulated formin,
Cytoskeleton & contractility,DIAPH3,Diaph3,Aragona 2020 (main text),Both,Medium,Diaphanous formin 3 (mDia2),RhoGTPase-effector formin; Diaph3 cKO abolishes stretch-induced F-actin & proliferation in vivo,"Aragona, Nature, 2020 [PMC7116042]",Xue 2025,Stretch-required formin (Diaph3 cKO blocks skin expansion),
Cytoskeleton & contractility,EFHD2,Efhd2,Aragona 2020 (scRNA DEGs),Both,Medium,Swiprosin-1 (EFHD2),Ca-regulated actin-bundling protein,"Aragona, Nature, 2020 [PMC7116042]",,Stretch-induced actin bundler,
Cytoskeleton & contractility,EZR,Ezr,Villeneuve 2024 (HF morphogenesis),Both,Medium,Ezrin,ERM cortical actin-membrane mechano-linker (with MSN),"Villeneuve, Nat Cell Biol, 2024 [PMC10866703]; Fehon, Nat Rev MCB, 2010 [PMC2871950]",,,
Cytoskeleton & contractility,FLNA,Flna,Xiong 2025 (MechanoGEPred),Both,High,Filamin-A,actin crosslinker & mechanosensor (force-unfolding),"Xiong, BioData Min, 2025 [PMC12625330]",Kaivola 2026,,
Cytoskeleton & contractility,FLNB,Flnb,Curated panel,Both,High,Filamin-B,"actin crosslinker, mechano-responsive","Razinia, Annu Rev Biophys, 2012 [PMC5508560]",,,Pollard & Cooper 2009 [Science]; Vicente-Manzanares et al. 2009 [Nat Rev MCB]
Cytoskeleton & contractility,FLNC,Flnc,Xiong 2025 (MechanoGEPred),Both,Medium,Filamin-C,actin crosslinker; Z-disc mechanosensor,"Xiong, BioData Min, 2025 [PMC12625330]",,,
Cytoskeleton & contractility,FSCN1,Fscn1,Villeneuve 2024 (HF morphogenesis),Both,Medium,Fascin-1,actin-bundling protein,"Villeneuve, Nat Cell Biol, 2024 [PMC10866703]",,,
Cytoskeleton & contractility,GSN,Gsn,Aguilera-Stewart 2025 (fibroblast),Both,High,Gelsolin,Ca-dependent actin-severing/capping protein,"Aguilera-Stewart, bioRxiv, 2025 [preprint]",Young 2023,Actin-severing cytoskeletal protein,
Cytoskeleton & contractility,HSPB1,Hspb1,Xiong 2025 (MechanoGEPred),Both,Medium,HSP27 (HSPB1),mechano-stress chaperone protecting actin,"Xiong, BioData Min, 2025 [PMC12625330]",,,
Cytoskeleton & contractility,LMO7,Lmo7,Xiong 2024 (MechanoBase),Both,Medium,LIM domain 7,junction/nuclear mechano-LIM protein,"Xiong, Database (Oxford), 2024 [PMC11131424]",Xiong 2025,,
Cytoskeleton & contractility,MACF1,Macf1,Xiong 2025 (MechanoGEPred),Both,Medium,MACF1 (ACF7),actin-microtubule cytolinker; force coupling,"Xiong, BioData Min, 2025 [PMC12625330]",,,
Cytoskeleton & contractility,MARCKSL1,Marcksl1,Xiong 2025 (MechanoGEPred),Both,Medium,MARCKSL1,actin-membrane mechano-coupling protein,"Xiong, BioData Min, 2025 [PMC12625330]",,,
Cytoskeleton & contractility,MICAL1,Mical1,Xiong 2024 (MechanoBase),Both,Medium,MICAL1,redox-dependent actin-depolymerising monooxygenase,"Xiong, Database (Oxford), 2024 [PMC11131424]",,,
Cytoskeleton & contractility,MSN,Msn,Aragona 2020 (scRNA DEGs),Both,High,Moesin,ERM protein; links cortical actin to membrane (mechanotransduction),"Aragona, Nature, 2020 [PMC7116042]; Fehon, Nat Rev MCB, 2010 [PMC2871950]",Kaivola 2026,Stretch-induced cortical mechano-linker,
Cytoskeleton & contractility,MTSS1,Mtss1,Young 2023 (single-cell genomechanics),Both,Medium,Metastasis suppressor 1 (MIM/MTSS1),I-BAR membrane-curvature & actin-bundling protein linking membrane mechanics to the cortex; metastasis suppressor (genomechanics panel),"Young, iScience, 2023 [PMC10074148]",,,
Cytoskeleton & contractility,MYH9,Myh9,Curated panel,Both,High,NM-IIA heavy chain,non-muscle myosin II — primary cortical contractility,"Vicente-Manzanares, Nat Rev MCB, 2009 [PMC2834236]",Aragona 2020; Fiore 2020; Villeneuve 2024; Villeneuve 2026; Cosgrove 2025; Xue 2025; Lomakin 2020,,Pollard & Cooper 2009 [Science]; Vicente-Manzanares et al. 2009 [Nat Rev MCB]
Cytoskeleton & contractility,MYH10,Myh10,Curated panel,Both,High,NM-IIB heavy chain,non-muscle myosin II isoform,"Vicente-Manzanares, Nat Rev MCB, 2009 [PMC2834236]",Cosgrove 2025,,Pollard & Cooper 2009 [Science]; Vicente-Manzanares et al. 2009 [Nat Rev MCB]
Cytoskeleton & contractility,MYH11,Myh11,Curated panel,Dermis,High,Smooth muscle MHC,smooth muscle / myofibroblast contractility,"Owens, Physiol Rev, 2007 [PMID 15269336]",Aguilera-Stewart 2025; Jiang 2024,,Pollard & Cooper 2009 [Science]; Vicente-Manzanares et al. 2009 [Nat Rev MCB]
Cytoskeleton & contractility,MYL9,Myl9,Curated panel,Both,High,Myosin light chain 9,"regulatory MLC, phosphorylated by MLCK/ROCK","Somlyo, Physiol Rev, 2003 [PMID 14506307]",Bansaccal 2023; Villeneuve 2024; Villeneuve 2026; Javed 2025; Lomakin 2020,,Pollard & Cooper 2009 [Science]; Vicente-Manzanares et al. 2009 [Nat Rev MCB]
Cytoskeleton & contractility,MYL10,Myl10,Hunter 2025 (melanoma confinement),Both,Low,Myosin regulatory light chain 10,myosin regulatory light chain; actomyosin contractility; HMGB2-induced,"Hunter, Nature, 2025 [PMC12611772]",,,
Cytoskeleton & contractility,MYLK,Mylk,Curated panel,Both,High,MLCK,"myosin light-chain kinase, Ca²⁺-calmodulin activated","Kamm, J Biol Chem, 2001 [PMID 11096123]",Bansaccal 2023; Young 2023,,Pollard & Cooper 2009 [Science]; Vicente-Manzanares et al. 2009 [Nat Rev MCB]
